"employees","base_salaries","salary_adjustments","adjusted_salaries","raise"
"Employee 1",47673.7457164563,-3608.6082609836,44065.1374554727,FALSE
"Employee 2",47113.8958563097,-4373.17753909156,42740.7183172181,FALSE
"Employee 3",49352.8073746711,4766.91129500978,54119.7186696809,TRUE
"Employee 4",40722.1106160432,8832.63864787295,49554.7492639162,TRUE
"Employee 5",49247.8017741814,7739.35849429108,56987.1602684725,TRUE
"Employee 6",49722.8306904435,-3357.24582197145,46365.5848684721,FALSE
"Employee 7",43684.5297995023,499.920833390206,44184.4506328925,TRUE
"Employee 8",48486.6930055432,-1050.75584026054,47435.9371652827,FALSE
"Employee 9",40781.3133113086,2638.5632075835,43419.8765188921,TRUE
"Employee 10",43847.3142404109,-2361.62853776477,41485.6857026462,FALSE
"Employee 11",45922.8753251955,1085.11424739845,47007.9895725939,TRUE
"Employee 12",41436.244728975,7458.04003090598,48894.284759881,TRUE
"Employee 13",40589.132795576,-603.46297104843,39985.6698245276,FALSE
"Employee 14",46016.8917989358,-3827.10007135756,42189.7917275783,FALSE
"Employee 15",40250.7020137273,1761.0606609378,42011.7626746651,TRUE
"Employee 16",41198.6994929612,2540.5232119374,43739.2227048986,TRUE
"Employee 17",45088.395383209,7148.18474603817,52236.5801292472,TRUE
"Employee 18",46505.9670316987,2972.94173040427,49478.9087621029,TRUE
"Employee 19",43328.0130918138,7558.48446628079,50886.4975580946,TRUE
"Employee 20",49934.9757726304,26.0484497994184,49961.0242224298,TRUE
"Employee 21",41632.8259510919,7643.85587535799,49276.6818264499,TRUE
"Employee 22",48455.2685986273,410.56435671635,48865.8329553436,TRUE
"Employee 23",40181.9447334856,-153.789700707421,40028.1550327782,FALSE
"Employee 24",40466.6549386457,8634.86372050829,49101.518659154,TRUE
"Employee 25",41082.9528281465,-4849.17009714991,36233.7827309966,FALSE
"Employee 26",41742.8290122189,7373.13196994364,49115.9609821625,TRUE
"Employee 27",43609.9611292593,9503.49477352574,53113.4559027851,TRUE
"Employee 28",46489.54333039,3317.64613627456,49807.1894666646,TRUE
"Employee 29",42653.560328763,6982.5746701099,49636.1349988729,TRUE
"Employee 30",42865.4503193684,9131.75537367351,51997.2056930419,TRUE
"Employee 31",49634.6785104834,5998.05288831703,55632.7313988004,TRUE
"Employee 32",40306.8364830688,8913.83567708544,49220.6721601542,TRUE
"Employee 33",44704.230139032,8216.29402693361,52920.5241659656,TRUE
"Employee 34",42804.6952467412,3002.10094312206,45806.7961898632,TRUE
"Employee 35",41076.6398278065,1953.64747662097,43030.2873044275,TRUE
"Employee 36",46986.0184867866,3995.61146041378,50981.6299472004,TRUE
"Employee 37",45099.6066490188,1854.14442326874,46953.7510722876,TRUE
"Employee 38",43791.9123424217,8399.33535316959,52191.2476955913,TRUE
"Employee 39",41153.1894770451,256.025849375874,41409.215326421,TRUE
"Employee 40",45082.0555724204,5481.63123312406,50563.6868055444,TRUE
"Employee 41",45852.6066504419,9927.2794497665,55779.8861002084,TRUE
"Employee 42",44689.0073595569,4537.9893865902,49226.9967461471,TRUE
"Employee 43",49771.1029346101,3106.20582895353,52877.3087635636,TRUE
"Employee 44",41337.531413883,-2679.97526680119,38657.5561470818,FALSE
"Employee 45",44173.196030315,1036.42064961605,45209.6166799311,TRUE
"Employee 46",40042.2756909393,5697.06175941974,45739.337450359,TRUE
"Employee 47",46415.7605031505,6168.12002728693,52583.8805304375,TRUE
